,Overall,Potential,Age,Height(in cm),Weight(in kg),Weak Foot Rating,Skill Moves,International Reputation,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Curve,Acceleration,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Aggression,Vision,Penalties,Composure, GoalkeeperKicking,Nationality,Preferred Foot
1466,75,82,22,170,58,3,4,1,59,54,76,78,59,47,68,49,45,81,68,57,68,72,89,56,62,63,36,50,78,55,76,14,France,Right
1467,75,85,20,173,77,3,4,3,91,65,66,80,25,64,65,67,37,70,60,94,89,70,87,73,75,61,67,58,71,51,71,8,Belgium,Right
1468,75,83,22,167,69,3,3,1,89,49,66,76,68,63,73,42,55,73,66,90,83,68,91,63,61,78,56,63,60,39,66,12,Spain,Left
1469,75,80,24,175,68,3,3,1,76,54,69,73,72,70,72,51,65,72,66,77,68,75,70,55,69,77,63,78,66,36,74,10,Spain,Left
1470,75,79,24,191,84,3,2,1,65,32,53,55,78,74,37,27,73,69,30,60,48,75,49,50,64,76,77,66,48,52,72,10,Germany,Right
1471,75,84,21,191,81,3,2,1,74,32,60,66,75,78,58,26,75,67,33,71,63,70,56,52,74,76,81,74,57,32,65,6,Côte d'Ivoire,Right
1472,75,76,26,176,75,3,2,1,80,56,64,66,74,76,64,53,81,67,46,79,75,71,70,66,92,80,75,69,66,58,72,13,Paraguay,Right
1473,75,85,21,180,72,4,3,1,75,74,71,78,67,74,64,76,56,78,70,76,78,76,84,79,77,79,74,68,73,53,76,8,England,Right
1474,75,80,24,186,76,3,3,1,71,70,71,75,72,78,68,66,72,75,65,67,76,73,77,76,78,84,76,76,71,59,72,10,Czech Republic,Right
1475,75,75,28,172,66,4,3,1,74,70,76,77,69,73,73,67,70,78,70,76,83,69,85,75,73,84,67,74,79,68,76,9,Czech Republic,Right
1476,75,80,24,179,71,3,3,1,68,75,53,72,41,78,41,76,74,68,52,66,68,76,64,79,78,80,78,73,48,72,74,5,Spain,Right
1477,75,76,25,179,74,3,4,1,77,72,76,79,63,64,73,68,53,76,75,82,81,74,75,79,56,68,61,70,81,66,76,14,Argentina,Right
1478,75,81,24,189,86,4,3,1,62,65,73,71,73,67,66,67,50,79,56,63,67,76,65,65,51,70,64,73,77,49,73,11,Spain,Right
1479,75,82,21,193,81,3,2,1,71,30,54,61,76,76,50,29,74,66,39,64,46,73,53,46,77,72,79,75,39,35,73,6,Republic of Ireland,Right
1480,75,85,20,175,72,5,2,1,77,55,69,73,70,58,72,48,62,73,62,79,74,69,64,64,64,81,51,47,67,48,72,8,Scotland,Right
1481,75,81,25,176,82,3,1,1,75,72,70,76,24,76,12,9,14,15,11,30,34,70,48,53,83,27,46,20,64,16,39,70,Venezuela,Right
1482,75,80,24,181,78,3,3,1,74,69,73,75,68,73,70,66,62,77,72,75,74,73,71,77,55,78,72,73,73,47,75,14,Brazil,Right
1483,75,85,21,181,71,4,3,1,88,72,67,76,41,57,72,76,58,67,64,87,88,65,66,70,40,78,52,48,71,67,70,13,Wales,Right
1484,75,83,22,178,66,3,3,1,81,71,67,76,30,64,62,74,58,74,58,84,79,76,78,74,59,84,58,53,69,72,71,14,Brazil,Right
1485,75,87,20,177,75,3,4,1,93,76,66,78,24,70,63,77,62,69,67,94,88,68,81,76,88,74,74,51,68,73,73,7,Germany,Left
1486,75,84,23,178,71,4,4,1,80,66,75,81,64,63,68,67,49,76,76,79,92,72,91,66,65,70,60,59,80,66,78,14,Portugal,Left
1487,75,85,19,167,63,4,4,1,83,68,70,81,53,61,70,65,55,70,75,87,91,71,90,73,57,73,52,69,71,56,81,12,Argentina,Right
1488,75,82,22,190,82,3,2,1,81,42,60,63,76,77,54,36,69,69,49,79,65,73,45,59,68,67,84,74,56,47,69,9,Portugal,Right
1489,75,82,23,175,76,4,4,1,82,70,71,81,58,72,65,66,51,75,63,88,79,75,94,76,60,78,70,74,73,74,76,13,Croatia,Right
1490,75,78,24,181,70,3,2,1,81,62,70,74,68,68,72,65,56,74,68,82,79,69,77,64,77,81,65,55,64,47,68,15,Uruguay,Left
1491,75,80,25,189,84,4,3,1,75,74,77,76,69,78,78,70,70,77,75,74,73,68,77,82,62,82,78,78,78,69,77,10,Czech Republic,Left
1492,75,80,21,177,68,2,2,1,75,42,66,71,71,71,70,39,61,69,60,77,69,72,74,44,72,82,65,70,62,40,67,10,England,Left
1493,75,85,21,175,61,4,4,1,88,65,67,79,44,58,69,66,39,66,62,89,84,67,75,69,60,64,53,62,73,52,70,14,Ukraine,Right
1494,75,78,26,192,84,2,2,1,53,36,58,60,77,77,66,28,77,70,43,54,39,72,41,56,32,70,86,74,39,41,73,12,Brazil,Right
1495,75,82,23,189,82,2,5,1,87,71,61,80,52,65,66,80,65,70,59,85,84,70,73,70,60,55,72,59,59,81,69,13,Congo DR,Right
1496,75,75,28,176,73,5,3,1,68,73,76,75,70,73,75,68,51,77,77,69,78,69,71,79,67,75,71,77,76,78,76,12,Malta,Left
1497,75,81,23,191,83,3,2,2,75,45,59,56,76,77,57,44,82,64,41,69,49,72,52,61,76,67,81,80,52,34,68,7,Belgium,Right
1498,75,83,22,169,56,3,3,1,65,64,73,80,58,49,60,63,49,80,66,68,82,73,85,66,55,65,33,65,80,55,77,14,Spain,Right
1499,75,81,23,187,76,3,2,1,68,36,57,64,75,75,42,29,77,75,39,64,64,69,56,55,74,68,78,76,43,47,67,15,Argentina,Right
1500,75,84,21,182,74,3,3,1,80,69,72,75,37,62,75,68,49,73,76,78,73,68,68,74,58,75,56,62,69,65,65,14,England,Right
1501,75,81,22,171,75,2,4,1,81,73,70,76,41,71,72,71,56,72,73,84,87,74,75,78,68,77,69,68,71,72,66,15,Cameroon,Left
1502,75,83,22,174,78,3,3,1,93,73,64,74,26,76,67,77,65,70,51,94,79,74,79,73,92,77,75,72,67,74,71,10,Belgium,Right
1503,75,82,21,186,78,3,3,1,66,70,76,75,66,69,72,66,62,77,71,65,69,75,59,77,64,74,68,65,78,60,76,9,France,Right
1504,75,84,21,184,71,3,3,1,89,43,58,74,67,63,71,38,48,68,49,87,79,73,66,54,60,78,63,46,44,37,65,7,England,Right
1505,75,84,23,192,87,3,1,1,74,71,73,76,37,75,15,8,12,25,14,39,36,74,25,55,56,32,61,22,60,19,56,73,Ukraine,Right
1506,75,78,26,179,73,3,5,1,81,72,66,80,24,62,58,77,59,72,60,88,89,74,86,71,85,79,58,44,71,52,65,5,Ghana,Right
1507,75,82,22,186,75,3,2,1,57,25,47,51,77,74,21,21,74,69,21,60,48,75,55,42,77,69,75,79,36,40,70,8,Argentina,Right
1508,75,80,24,193,81,4,3,1,62,73,74,72,76,80,70,68,75,78,70,55,62,74,56,80,75,73,88,68,72,72,73,9,Serbia,Right
1509,75,78,28,196,84,3,1,1,76,65,80,78,27,72,12,5,10,23,13,24,35,77,24,60,38,18,73,24,35,13,36,80,Ukraine,Right
1510,75,84,22,182,66,3,3,1,87,70,69,78,48,63,62,73,44,73,62,88,83,69,82,72,52,74,55,70,74,48,71,14,Denmark,Right
1511,75,75,32,189,95,3,3,1,64,75,56,70,24,83,40,77,75,66,50,55,63,68,33,78,80,84,92,59,66,71,76,12,Cameroon,Right
1512,75,79,24,177,73,4,3,1,71,71,75,76,67,66,72,69,62,78,68,75,76,74,77,72,71,79,58,68,76,70,74,10,Czech Republic,Right
1513,75,79,25,174,68,3,3,1,67,72,75,75,64,62,73,71,46,78,67,72,77,71,81,74,46,73,57,66,74,68,66,12,Portugal,Right
1514,75,84,21,182,69,3,2,1,74,76,67,71,52,80,60,79,78,70,64,75,72,63,70,77,82,75,84,78,73,81,67,12,Mexico,Left
1515,75,80,23,169,65,4,3,1,73,61,70,73,72,78,69,57,64,75,68,75,75,72,84,66,79,84,74,78,65,62,69,9,Czech Republic,Left
1516,75,80,25,190,82,3,3,1,59,66,75,73,72,78,72,57,75,76,77,58,62,75,62,81,68,78,81,71,75,51,73,11,Croatia,Left
1517,75,81,21,195,88,1,1,1,75,74,73,75,38,75,14,9,10,15,10,40,23,66,25,55,38,24,68,18,57,15,26,73,Turkey,Right
1518,75,82,22,191,78,3,2,1,49,32,53,56,77,77,45,26,79,61,30,42,51,78,58,50,82,68,81,75,54,30,63,15,Albania,Right
1519,75,81,23,184,78,3,2,1,70,43,59,65,75,69,66,37,64,65,57,68,68,63,58,57,70,83,67,57,43,48,56,12,Italy,Left
1520,75,75,27,170,63,4,3,1,87,75,68,73,47,66,64,77,68,72,67,85,88,72,82,74,76,83,53,77,69,70,74,8,Japan,Right
1521,75,75,30,185,78,2,1,1,75,75,70,78,30,71,10,8,12,23,11,33,31,71,48,53,67,32,56,29,25,18,59,70,Peru,Right
1522,75,85,20,182,83,5,4,1,77,74,59,77,24,64,52,77,73,66,56,76,77,72,79,74,76,66,73,35,62,68,69,14,France,Left
1523,75,81,24,189,86,4,3,1,62,65,73,71,73,67,66,67,50,79,56,63,67,76,65,65,51,70,64,73,77,49,73,11,Spain,Right
1524,75,75,31,190,87,5,2,1,60,44,56,61,74,83,48,34,73,68,35,51,58,69,38,68,63,73,93,73,48,50,68,6,Cameroon,Right
1525,75,80,24,178,80,3,3,2,64,54,71,82,70,72,61,43,51,78,65,76,79,78,85,66,67,77,70,71,76,42,80,7,Belgium,Right
1526,75,75,28,178,75,3,4,1,80,69,72,78,40,66,71,69,60,75,79,81,82,70,79,69,57,70,69,54,71,63,78,10,Argentina,Right
1527,75,75,32,184,77,4,3,2,58,67,76,75,71,73,72,64,59,78,75,56,68,78,68,72,61,75,73,73,76,76,79,14,France,Right
1528,75,75,28,175,73,3,3,1,77,69,73,77,43,58,67,67,46,76,76,80,85,67,88,70,53,72,51,60,75,66,69,11,Greece,Right
1529,75,78,26,181,74,3,3,1,68,78,70,76,29,61,63,77,59,74,73,77,78,75,77,81,66,69,64,44,75,83,72,7,Germany,Left
1530,75,75,30,187,74,3,1,1,74,73,75,77,32,75,17,20,30,46,20,31,22,66,32,56,58,34,42,12,48,22,61,75,Italy,Left
1531,75,75,33,169,67,3,2,1,62,58,67,69,74,78,60,53,65,74,58,65,68,67,72,68,73,82,72,91,64,65,68,12,Egypt,Right
1532,75,78,26,170,69,3,3,1,71,70,77,76,67,69,73,71,51,82,75,73,84,75,88,76,77,78,62,72,74,54,73,12,Spain,Right
1533,75,77,25,191,77,4,3,1,67,74,57,70,31,76,47,76,78,68,54,68,62,77,49,76,85,74,80,68,63,67,74,10,Poland,Left
1534,75,75,32,182,75,2,2,2,59,34,58,55,74,79,51,22,72,73,47,62,52,71,70,65,84,70,82,83,39,36,61,12,Spain,Right
1535,75,75,29,185,74,3,3,1,79,75,66,71,37,74,63,77,75,68,57,78,70,72,60,76,78,62,83,67,75,68,71,11,Honduras,Right
1536,75,79,25,189,82,3,2,2,75,29,50,45,79,71,35,23,77,69,26,70,46,69,59,42,72,63,77,66,36,38,68,7,Austria,Right
1537,75,81,23,178,69,4,4,1,72,70,76,76,60,68,73,71,59,79,73,76,74,76,75,75,54,91,62,59,80,55,75,6,United States,Right
1538,75,75,27,182,67,2,4,2,79,67,72,80,43,52,73,65,43,74,75,82,92,71,82,72,60,62,48,48,71,59,70,15,Spain,Left
1539,75,75,36,180,75,3,1,2,75,72,76,77,41,73,12,11,13,33,13,41,40,75,45,57,65,24,69,45,27,14,61,76,France,Right
1540,75,82,23,189,82,2,5,1,87,71,61,80,52,65,66,80,65,70,59,85,84,70,73,70,60,55,72,59,59,81,69,13,Congo DR,Right
1541,75,75,32,176,72,3,4,3,69,76,72,77,57,74,74,76,75,74,75,71,75,78,80,77,89,80,67,78,74,73,74,12,Ghana,Left
1542,75,75,32,191,93,2,2,1,35,53,56,41,76,82,36,47,86,66,61,35,31,63,33,76,60,66,91,85,49,69,66,7,Argentina,Right
1543,75,75,35,178,73,4,3,3,75,72,75,77,48,58,79,70,65,78,74,74,82,68,80,78,70,65,55,54,78,62,79,14,Spain,Right
1544,75,81,23,174,66,3,4,1,83,55,74,76,69,69,70,52,63,78,75,84,88,72,85,55,78,85,59,74,73,62,75,8,Liberia,Left
1545,75,79,23,177,71,4,2,1,79,48,66,73,71,66,72,44,59,74,61,79,73,73,73,58,75,76,63,61,59,50,61,9,Switzerland,Right
1546,75,79,23,182,75,2,2,1,67,52,69,65,75,74,68,53,73,75,60,65,67,73,69,68,77,68,79,68,63,44,75,14,France,Left
1547,75,82,22,191,79,3,2,1,66,64,71,66,76,74,69,57,73,74,68,55,57,74,36,84,72,75,76,67,66,57,68,9,Netherlands,Right
1548,75,75,32,182,77,3,3,1,64,54,75,70,74,67,79,46,72,78,75,64,65,76,66,69,68,65,66,71,68,45,70,10,Spain,Left
1549,75,75,38,180,71,3,3,2,37,72,79,71,70,62,75,67,53,80,81,41,41,72,63,81,32,59,63,73,80,73,69,9,Spain,Right
1550,75,75,34,169,68,3,2,1,66,43,67,69,74,70,55,19,67,78,48,68,63,74,77,76,76,79,64,71,55,60,74,9,Brazil,Right
1551,75,80,25,188,74,4,3,1,74,45,59,67,77,76,34,41,70,73,41,77,71,73,69,67,84,85,75,67,59,38,73,9,Japan,Right
1552,75,80,24,172,70,3,3,1,78,62,72,76,70,71,64,59,61,77,57,77,82,75,85,69,69,79,68,69,74,55,74,14,France,Right
1553,75,75,29,186,83,4,3,2,49,77,63,66,37,79,53,78,79,71,68,43,61,75,34,84,70,69,90,65,69,71,79,10,Spain,Right
1554,75,76,27,185,74,3,4,1,48,64,77,76,68,63,76,67,58,80,67,65,68,75,67,60,49,72,58,70,80,66,79,12,England,Left
1555,75,75,30,183,79,3,3,1,74,72,72,75,50,73,67,72,50,74,68,73,74,75,73,75,58,83,72,68,77,62,76,9,Sweden,Right
1556,75,75,32,176,72,2,3,1,67,63,72,70,76,69,74,56,70,74,69,63,69,75,70,80,71,70,66,73,66,66,69,7,Spain,Left
1557,75,75,26,182,81,3,2,1,73,44,64,65,75,73,74,41,70,72,51,70,61,72,58,44,47,72,76,71,49,53,65,13,Brazil,Left
1558,75,76,27,187,72,3,3,1,47,72,76,70,72,71,74,66,73,78,72,53,64,74,65,82,53,84,64,77,72,67,75,12,Belgium,Right
1559,75,75,27,171,67,3,4,1,84,72,66,79,36,63,67,75,69,71,59,86,90,67,91,69,84,70,58,62,64,64,73,8,Argentina,Right
1560,75,80,25,185,83,3,2,2,63,53,64,66,76,82,56,42,73,73,39,52,59,71,66,73,80,83,82,82,60,48,68,16,France,Right
1561,75,75,26,186,83,3,3,1,72,56,71,72,76,72,69,40,71,75,62,66,64,73,63,80,77,48,79,83,71,40,72,8,Côte d'Ivoire,Right
1562,75,75,30,168,61,4,3,2,75,69,72,78,41,60,70,70,51,74,73,83,85,73,84,70,66,72,55,54,73,71,71,7,Peru,Right
1563,75,82,21,193,81,3,2,1,71,30,54,61,76,76,50,29,74,66,39,64,46,73,53,46,77,72,79,75,39,35,73,6,Republic of Ireland,Right
1564,75,76,27,182,77,3,2,2,65,56,69,68,76,73,70,54,73,75,60,63,60,74,66,60,75,62,77,77,64,54,66,12,England,Right
1565,75,77,27,175,72,3,3,1,69,57,72,70,72,74,73,53,51,74,65,76,77,74,82,65,65,79,69,80,70,49,70,14,England,Right
1566,75,75,32,186,79,4,3,1,57,76,64,73,44,73,56,77,78,76,42,58,62,75,46,77,74,61,79,71,67,70,80,8,Spain,Right
1567,75,75,28,188,79,3,3,1,70,76,67,69,34,69,67,78,72,72,77,73,65,77,65,78,71,73,73,55,66,68,70,7,Germany,Right
1568,75,76,26,173,70,3,3,1,78,68,69,73,67,74,81,61,58,69,80,77,80,71,85,80,72,85,67,77,58,52,72,12,Germany,Left
1569,75,75,29,183,78,3,3,1,76,63,68,71,72,77,71,63,69,72,60,75,69,74,62,74,74,79,78,72,66,49,68,6,France,Right
1570,75,82,22,190,82,3,2,1,81,42,60,63,76,77,54,36,69,69,49,79,65,73,45,59,68,67,84,74,56,47,69,9,Portugal,Right
1571,75,75,34,187,82,3,1,2,73,74,75,75,49,76,11,14,15,35,12,47,38,72,45,56,49,28,65,22,48,15,58,75,France,Right
1572,75,75,36,184,86,4,3,3,33,80,68,67,36,67,64,82,84,75,61,34,34,72,35,84,76,33,90,52,73,79,81,9,France,Right
1573,75,82,21,186,78,3,3,1,66,70,76,75,66,69,72,66,62,77,71,65,69,75,59,77,64,74,68,65,78,60,76,9,France,Right
1574,75,75,33,172,67,4,3,2,80,58,72,75,70,67,73,49,54,73,70,83,76,69,87,71,71,83,56,73,69,64,67,15,Brazil,Right
1575,75,78,25,168,65,3,3,1,82,64,72,77,27,50,72,69,31,77,68,85,89,71,84,57,63,77,36,50,74,54,61,8,Brazil,Right
1576,75,77,24,174,59,3,3,1,91,72,64,78,31,53,65,77,43,69,57,93,92,67,77,74,63,81,42,42,63,54,71,14,Mexico,Right
1577,75,75,28,182,70,3,3,2,75,51,65,72,72,72,73,47,65,70,54,73,74,72,69,68,68,80,65,78,59,40,74,14,Albania,Right
1578,75,79,24,193,90,4,3,1,62,60,71,70,72,84,59,53,70,78,64,61,40,76,33,74,67,82,89,77,73,52,74,14,France,Right
1579,75,82,22,191,78,3,2,1,49,32,53,56,77,77,45,26,79,61,30,42,51,78,58,50,82,68,81,75,54,30,63,15,Albania,Right
1580,75,78,28,189,93,3,1,1,75,72,75,76,42,73,13,10,24,24,14,43,58,71,57,56,71,28,74,37,58,20,30,75,Switzerland,Right
1581,75,75,26,190,88,2,1,1,77,76,61,73,36,72,9,8,10,20,8,34,31,72,41,46,67,41,81,36,59,19,56,61,Brazil,Right
1582,75,75,35,199,101,2,1,3,75,77,73,71,43,73,14,19,12,26,17,42,42,70,40,55,38,36,79,42,34,40,58,73,Bosnia and Herzegovina,Right
1583,75,80,26,187,83,2,2,1,64,36,58,64,75,83,39,25,75,74,54,68,73,64,65,49,84,82,85,78,53,26,56,13,Slovakia,Right
1584,75,90,18,169,67,3,3,1,77,66,72,78,46,59,59,69,57,77,59,80,80,66,83,68,61,65,56,60,86,59,60,11,Spain,Right
1585,75,82,22,185,75,4,3,1,68,72,77,74,63,65,76,69,48,77,76,67,69,72,74,72,57,78,68,42,80,75,78,10,Scotland,Right
1586,75,81,25,184,75,4,3,1,59,68,67,70,73,73,49,69,66,77,48,61,62,72,55,70,61,76,76,64,71,50,73,11,Spain,Right
1587,75,78,25,183,74,4,3,1,71,65,75,75,65,74,69,66,62,80,67,73,75,71,72,68,68,85,72,65,74,51,70,15,Switzerland,Right
1588,75,80,25,185,76,5,3,1,69,52,68,67,75,72,73,53,73,72,60,69,68,74,60,59,74,72,73,68,61,52,68,12,France,Right
1589,75,82,25,180,71,4,3,1,63,58,75,76,68,70,65,55,49,80,76,67,75,76,80,70,65,79,67,69,76,57,76,12,Colombia,Right
1590,75,78,25,178,70,3,3,1,61,47,70,75,72,67,77,36,63,74,75,74,76,74,75,64,61,78,65,59,61,46,70,10,Spain,Left
1591,75,78,26,183,77,4,4,1,91,72,65,75,31,77,62,76,70,65,64,90,84,74,66,72,84,80,75,74,73,65,73,6,Honduras,Right
1592,75,75,26,181,70,3,3,1,72,42,68,70,73,62,75,41,73,70,73,76,78,77,67,43,58,68,64,49,56,59,73,7,Brazil,Left
1593,75,83,22,178,70,2,4,1,76,70,73,76,57,66,67,69,58,75,67,77,81,73,75,74,58,71,66,62,76,58,74,14,England,Right
1594,75,78,25,168,65,3,3,1,82,64,72,77,27,50,72,69,31,77,68,85,89,71,84,57,63,77,36,50,74,54,61,8,Brazil,Right
1595,75,83,22,178,70,3,4,1,82,65,72,77,68,66,77,68,55,76,71,84,79,73,78,67,66,76,60,67,74,61,76,7,England,Left
1596,75,80,24,183,70,3,3,1,75,62,71,73,71,70,77,60,62,72,72,77,68,72,73,65,64,81,66,70,68,57,70,5,Spain,Right
1597,75,80,23,188,72,3,3,1,74,77,53,71,27,72,48,77,75,64,55,73,69,73,74,79,74,81,75,55,45,78,62,15,Italy,Right
1598,75,80,24,187,81,3,1,1,77,74,71,78,30,75,13,9,11,28,17,35,38,63,35,53,66,44,62,26,38,17,56,71,Italy,Right
1599,75,78,24,186,78,3,3,2,69,75,70,72,61,75,56,80,78,77,60,67,68,77,63,73,72,87,71,72,73,66,75,12,Netherlands,Right
1600,75,80,23,176,73,4,3,1,82,75,65,73,42,74,58,77,69,71,58,86,75,74,79,74,71,74,74,75,66,70,70,11,Colombia,Right
1601,75,81,23,185,78,2,2,1,71,43,62,64,74,83,51,36,73,71,52,72,63,70,71,60,81,83,85,76,59,53,67,12,Denmark,Right
1602,75,80,24,173,67,3,3,1,53,53,74,79,61,58,66,46,29,80,66,65,85,77,83,57,54,76,42,78,76,40,72,12,Germany,Right
1603,75,80,24,172,70,3,3,1,78,62,72,76,70,71,64,59,61,77,57,77,82,75,85,69,69,79,68,69,74,55,74,14,France,Right
1604,75,79,23,182,75,2,2,1,67,52,69,65,75,74,68,53,73,75,60,65,67,73,69,68,77,68,79,68,63,44,75,14,France,Left
1605,75,75,32,185,72,3,3,1,78,70,70,75,59,76,74,69,78,73,62,77,73,74,51,73,75,68,77,82,67,58,74,6,Colombia,Left
1606,75,75,29,170,65,3,3,1,77,71,77,77,59,61,73,60,48,79,77,75,80,71,82,83,81,83,45,69,78,72,74,10,Portugal,Right
1607,75,75,34,181,77,3,3,1,53,70,79,73,72,71,79,63,66,80,79,53,66,75,68,79,68,73,71,70,75,78,75,15,France,Left
1608,75,78,26,188,97,2,1,1,74,75,68,78,29,76,13,10,13,27,62,28,41,61,67,51,62,20,65,18,44,66,28,68,Brazil,Left
1609,75,80,25,187,84,3,3,1,69,76,59,72,24,77,46,78,73,69,56,68,67,76,56,80,80,73,82,69,64,64,65,12,Spain,Right
1610,75,76,25,176,74,3,3,1,86,74,65,76,28,68,71,76,58,65,56,85,82,70,73,75,76,71,68,61,68,71,73,6,Congo DR,Right
1611,75,79,23,177,71,4,2,1,79,48,66,73,71,66,72,44,59,74,61,79,73,73,73,58,75,76,63,61,59,50,61,9,Switzerland,Right
1612,75,84,23,166,68,3,3,1,88,59,71,77,68,70,74,60,55,76,71,85,80,73,86,66,80,75,67,68,72,50,71,10,Brazil,Right
1613,75,83,22,175,70,4,3,1,84,49,64,72,71,66,67,44,58,69,58,83,81,68,80,63,74,79,60,63,55,56,63,15,Italy,Right
1614,75,84,22,179,71,3,3,1,76,72,69,77,67,70,60,75,68,77,64,75,77,78,72,73,67,78,66,70,73,62,72,12,England,Right
1615,75,75,34,178,66,3,3,1,52,67,71,72,74,68,66,68,66,75,58,54,65,77,71,65,68,68,60,88,71,64,80,9,Scotland,Right
1616,75,77,26,177,62,4,3,1,80,66,70,80,43,45,70,70,59,75,62,84,86,74,80,50,43,78,32,36,68,65,73,14,Japan,Left
1617,75,75,32,198,89,2,1,1,76,74,78,75,35,75,20,11,16,32,18,31,32,68,33,59,40,37,75,27,59,26,45,78,Sweden,Right
1618,75,75,32,177,74,5,5,1,81,76,72,75,32,72,70,75,58,74,65,80,81,72,73,80,68,81,73,57,73,70,67,12,Brazil,Right
1619,75,82,22,191,79,3,2,1,66,64,71,66,76,74,69,57,73,74,68,55,57,74,36,84,72,75,76,67,66,57,68,9,Netherlands,Right
1620,75,80,24,188,76,2,3,1,70,76,60,73,26,62,57,78,70,66,69,69,67,77,54,78,57,60,73,38,62,73,75,5,Guinea,Right
1621,75,75,30,193,80,3,2,1,86,48,52,62,74,80,38,40,76,65,36,84,69,73,56,67,90,75,84,74,37,41,68,10,Morocco,Right
1622,75,78,24,182,76,3,2,1,79,54,70,66,74,79,58,43,71,73,73,76,67,72,68,82,83,75,80,80,72,52,75,11,Paraguay,Left
1623,75,78,25,184,78,3,3,2,75,62,70,71,72,75,76,62,71,74,65,74,62,72,60,68,72,77,74,76,64,42,70,7,Spain,Left
1624,75,78,26,175,66,5,4,2,88,67,71,79,68,68,70,70,58,74,71,87,79,75,78,69,69,67,64,78,72,59,77,8,Algeria,Right
1625,75,78,24,173,75,2,4,1,80,73,68,79,36,62,65,72,53,74,66,82,81,71,85,85,59,64,64,55,68,57,57,13,Spain,Left
1626,75,81,21,177,80,3,4,1,85,68,71,81,36,63,66,67,47,75,73,79,83,65,82,75,67,64,69,45,73,58,75,10,Brazil,Right
1627,75,76,27,190,76,4,3,1,82,74,63,75,39,70,55,75,76,67,68,84,74,64,70,76,61,70,76,59,68,65,65,5,Uzbekistan,Right
1628,75,83,21,183,67,5,3,1,88,74,62,76,28,66,52,77,61,68,62,90,84,77,74,77,83,74,67,47,66,66,73,14,Netherlands,Right
1629,75,79,25,182,78,3,2,1,78,48,64,69,73,78,74,36,65,74,61,77,70,64,68,74,85,81,76,76,33,30,68,13,Germany,Left
1630,75,80,23,177,70,3,3,1,66,64,74,75,66,71,68,59,63,79,69,69,69,74,70,70,68,78,69,70,76,59,73,9,England,Left
1631,75,81,22,185,87,2,2,1,85,53,66,71,72,75,65,47,71,74,59,79,65,70,64,75,73,75,77,71,58,48,64,11,Netherlands,Left
1632,75,75,27,175,72,4,3,1,85,58,67,72,69,68,72,56,59,72,68,86,84,69,81,66,60,80,59,75,65,47,72,7,Portugal,Right
1633,75,75,29,194,79,3,2,1,67,37,57,61,76,79,42,33,76,66,40,64,54,73,53,53,80,69,83,80,58,44,71,13,Jamaica,Left
1634,75,78,26,191,79,2,2,1,49,33,56,49,78,71,48,30,78,69,49,46,50,74,48,44,71,54,76,78,41,31,70,6,Brazil,Right
1635,75,81,23,179,68,4,4,2,89,69,67,79,54,64,68,68,66,71,59,88,91,72,90,72,85,75,62,49,64,60,63,5,Switzerland,Right
1636,75,76,26,166,61,3,4,1,84,70,63,83,28,56,60,73,55,68,43,87,89,70,93,70,68,72,53,42,71,58,62,12,Brazil,Right
1637,75,76,27,180,75,3,3,1,75,56,69,69,72,65,78,60,71,75,73,72,69,73,66,59,63,64,64,69,59,41,68,7,Spain,Right
1638,75,77,24,174,59,3,3,1,91,72,64,78,31,53,65,77,43,69,57,93,92,67,77,74,63,81,42,42,63,54,71,14,Mexico,Right
1639,75,80,23,190,85,3,2,1,79,32,50,57,73,78,39,26,78,64,35,68,57,69,48,49,80,57,86,82,42,42,68,6,Austria,Right
1640,75,76,26,181,73,3,2,1,78,50,66,70,73,75,66,46,66,73,41,73,78,70,64,64,70,81,71,80,66,42,72,12,Colombia,Right
1641,75,80,25,182,80,3,4,1,76,74,72,74,73,81,69,71,67,75,69,74,75,70,75,84,70,83,82,81,73,54,77,9,Guinea,Right
1642,75,81,23,178,69,4,4,1,72,70,76,76,60,68,73,71,59,79,73,76,74,76,75,75,54,91,62,59,80,55,75,6,United States,Right
1643,75,83,22,183,73,3,3,1,66,58,75,78,69,69,68,53,61,79,71,63,78,72,68,68,71,79,63,72,75,41,80,6,Belgium,Right
1644,75,75,26,182,81,3,2,1,73,44,64,65,75,73,74,41,70,72,51,70,61,72,58,44,47,72,76,71,49,53,65,13,Brazil,Left
1645,75,82,23,188,75,3,3,1,84,73,63,74,41,76,64,75,70,68,68,85,77,74,65,75,47,78,80,69,65,71,72,13,Chile,Right
1646,75,85,20,188,86,3,4,1,66,63,74,72,73,78,62,63,68,82,50,64,64,75,54,66,68,72,82,80,78,54,74,10,Spain,Right
1647,75,82,22,188,74,3,2,1,65,34,58,61,77,73,44,25,77,73,44,63,48,71,54,52,72,70,75,70,51,41,69,13,France,Right
1648,75,84,20,176,70,3,2,1,73,55,70,73,72,68,76,52,59,72,66,71,71,71,75,63,71,76,65,67,66,54,68,6,France,Left
1649,75,84,22,190,82,3,2,1,78,29,58,67,76,77,43,24,72,73,29,79,62,77,51,41,80,73,81,70,53,39,79,7,Croatia,Right
1650,75,85,19,171,69,3,4,1,86,72,69,83,39,70,64,69,63,73,69,91,90,72,91,82,57,73,69,72,69,74,80,6,Argentina,Right
